method,family,operating_point,device,cr,bpppc,mse,mae,psnr,pae,sa,enc_time_s,dec_time_s,throughput_mbs,num_samples_measured
jpeg2000_lossless,lossless,lossless,cpu,2.4336879515570597,6.577463296629965,0.0,0.0,inf,0.0,0.0,0.15415769118677686,0.1261505291417793,5.070230221212937,54
jpeg2000_cr4,lossy,cr=4,cpu,4.000351492647854,3.999648606940273,5.727240235026693,1.8620953505588917,72.51890981369246,12.87037037037037,0.1294672111704768,0.27774514637335584,0.08887931166423692,3.8844549960638526,54
jpeg2000_cr8,lossy,cr=8,cpu,7.999833569990561,2.000041708375042,101.05007596137803,7.805275796629961,60.084206445626066,69.0,0.5251810679028365,0.27472852922424124,0.05596421969433626,4.296994155164738,54
jpeg2000_cr16,lossy,cr=16,cpu,15.999039566815307,1.0000602686019355,883.4084081998667,22.8321761344678,50.68951769366548,289.3333333333333,1.480315707725576,0.2716891908397277,0.036784624266955585,4.606299627057583,54
jpeg2000_cr32,lossy,cr=32,cpu,31.991482716870088,0.5001332582582583,5760.987714328911,58.3108180055055,42.54769282510015,688.1296296296297,3.5315871239208083,0.2645221681644519,0.025477748502183845,4.900138114567265,54
jpeg2000_cr64,lossy,cr=64,cpu,63.92450614792164,0.25029529529529526,25736.852538449904,122.42895199887387,36.04440681139835,1420.6666666666667,6.574698749997941,0.25143516111980985,0.01891434606578615,5.256766063890991,54
jpeg2000_cr100,lossy,cr=100,cpu,99.80945644129321,0.16030551384718053,56409.41428868972,180.89990602581753,32.607854288329996,1614.4444444444443,8.55577896419699,0.24778480282812207,0.01659353249878795,5.378876467182875,54
jpeg2000_cr150,lossy,cr=150,cpu,149.52006142755883,0.10700909242575916,102135.40805774526,241.820209845262,30.029906627399743,2078.740740740741,10.091569155151173,0.240282093209249,0.015073400749652474,5.566433256343497,54
jpeg2000_cr200,lossy,cr=200,cpu,199.14775178908133,0.08034242575909244,145241.19176100582,287.79508698802965,28.49695760842863,2447.6296296296296,11.069925881181739,0.23465501192819188,0.014130028654579763,5.713283081136789,54
jpeg2000_cr300,lossy,cr=300,cpu,297.98098209221627,0.05369473640306969,222601.775606909,356.3166922130465,26.631803015064317,3181.5925925925926,12.238308267810545,0.22750168307511895,0.013387616792762722,5.899425051745639,54
